Frame,Time (t),Distance (d),Max Curvature (Z),Min Curvature (Z)
0,0.0,6.0,-0.23515968334104329,-3.9985430705434144
1,0.1,5.952,-0.23408237060387374,-3.8713629891460943
2,0.2,5.904,-0.2340313935244566,-4.018479735736048
3,0.30000000000000004,5.856,-0.23517459160626383,-4.0541527289147705
4,0.4,5.808,-0.2372783794180007,-3.9469461965081845
5,0.5,5.76,-0.23992181188405176,-3.9650760697070284
6,0.6000000000000001,5.712,-0.24257942678766328,-4.034529834471519
7,0.7000000000000001,5.664,-0.24231831163808268,-3.9650409814948855
8,0.8,5.616,-0.24120434635297147,-3.893089196922465
9,0.9,5.5680000000000005,-0.24009584222764524,-4.019030696165105
10,1.0,5.5200000000000005,-0.23899220205222566,-4.018031776562341
11,1.1,5.472,-0.2378931409498081,-3.895798610254211
12,1.2000000000000002,5.424,-0.23679866680142297,-4.031646142142609
13,1.3,5.376,-0.23570905961807243,-4.07583276257118
14,1.4000000000000001,5.328,-0.23462485025201707,-3.9749220612763483
15,1.5,5.28,-0.23354679865869332,-3.9790180966184128
16,1.6,5.232,-0.23334558416928655,-4.053769732200388
17,1.7000000000000002,5.184,-0.23433838141573238,-3.9900528643137787
18,1.8,5.136,-0.2363244613836275,-3.902729766040075
19,1.9000000000000001,5.088,-0.23891216509322075,-4.03300928104494
20,2.0,5.04,-0.2415949036687611,-4.039884010954976
21,2.1,4.992,-0.24193579047924527,-3.922892170158941
22,2.2,4.944000000000001,-0.24081512130418256,-4.047652657693594
23,2.3000000000000003,4.896000000000001,-0.23970098129569797,-4.100461622152655
24,2.4000000000000004,4.848000000000001,-0.23859340289034736,-4.006213287039042
25,2.5,4.800000000000001,-0.23749268056806835,-3.9965092138947726
26,2.6,4.752000000000001,-0.23639934960300302,-4.076325237797452
27,2.7,4.704000000000001,-0.23531416412989173,-4.018411536023931
28,2.8000000000000003,4.656000000000001,-0.23423807460096108,-3.915798083990525
29,2.9000000000000004,4.6080000000000005,-0.2331722046029412,-4.050101468102929
30,3.0,4.5600000000000005,-0.23269665416620838,-4.064873238746169
31,3.1,4.5120000000000005,-0.23341539615215892,-3.9534455667947745
32,3.2,4.464,-0.23518327759952318,-4.067430443865793
33,3.3000000000000003,4.416,-0.23765629044737846,-4.1290077255823565
34,3.4000000000000004,4.368,-0.2403574629212823,-4.041825853780799
35,3.5,4.32,-0.2417050741775943,-4.018664201244464
36,3.6,4.272,-0.24058499075485373,-4.103302241135931
37,3.7,4.224,-0.2394743701156116,-4.0511901516898075
38,3.8000000000000003,4.176,-0.2383736997978525,-3.933416202920442
39,3.9000000000000004,4.128,-0.23728367390372596,-4.071418888840098
40,4.0,4.08,-0.23620517015906364,-4.094104622995324
41,4.1000000000000005,4.032,-0.23513922605706852,-3.9886039923671937
42,4.2,3.9839999999999995,-0.2340870140326122,-4.092308552540057
43,4.3,3.936,-0.2330498155663464,-4.162862265344527
44,4.4,3.888,-0.23218850547718103,-4.08320661443178
45,4.5,3.84,-0.23250511063807827,-4.047087199460646
46,4.6000000000000005,3.792,-0.23393262687516564,-4.13629973877863
47,4.7,3.7439999999999998,-0.23619633162675746,-4.08995036229684
48,4.800000000000001,3.6959999999999997,-0.23886581704754256,-3.9572223031108384
49,4.9,3.6479999999999997,-0.24143588439906916,-4.098589755555542
50,5.0,3.5999999999999996,-0.2406075315621298,-4.129210470885883
51,5.1000000000000005,3.5520000000000005,-0.23951430693899406,-4.0300594779454215
52,5.2,3.5040000000000004,-0.23843541492405526,-4.124254279708214
53,5.300000000000001,3.4560000000000004,-0.23737174053330695,-4.204094585058947
54,5.4,3.4080000000000004,-0.2363024919048134,-4.132511442163875
55,5.5,3.3600000000000003,-0.23519918332397113,-4.084177255807787
56,5.6000000000000005,3.3120000000000003,-0.23410620813439115,-4.177719420070255
57,5.7,3.2640000000000002,-0.23302534171442563,-4.137052927529847
58,5.800000000000001,3.216,-0.2319584468379578,-3.989710432029326
59,5.9,3.168,-0.23174864792679004,-4.134101445576256
60,6.0,3.12,-0.2326931289669314,-4.172702430104533
61,6.1000000000000005,3.072,-0.23461096419226482,-4.080418575033084
62,6.2,3.024,-0.23714227840522706,-4.166312050238619
63,6.300000000000001,2.976,-0.2398150956358735,-4.255918961033079
64,6.4,2.928,-0.2406871047131748,-4.193096384359834
65,6.5,2.88,-0.23957389373061377,-4.133695894573837
66,6.6000000000000005,2.832,-0.2384714159278502,-4.231343385781144
67,6.7,2.784,-0.2373810088179837,-4.196240282345683
68,6.800000000000001,2.7359999999999998,-0.23630412921930616,-4.047699957589056
69,6.9,2.6879999999999997,-0.23524232826499075,-4.181958688839011
70,7.0,2.6399999999999997,-0.23419722520886369,-4.2286506400709705
71,7.1000000000000005,2.5920000000000005,-0.23317047982613873,-4.143913538169454
72,7.2,2.5440000000000005,-0.23216376324275567,-4.223464576882955
73,7.300000000000001,2.4960000000000004,-0.2313271784572662,-4.323612121003878
74,7.4,2.4480000000000004,-0.23163923928746874,-4.27048582529697
75,7.5,2.4000000000000004,-0.23303753628826177,-4.201907166728452
76,7.6000000000000005,2.3520000000000003,-0.23526245294604503,-4.303501611015741
77,7.7,2.3040000000000003,-0.23790494804163625,-4.273821774438908
78,7.800000000000001,2.2560000000000002,-0.24048123963328874,-4.127519808490618
79,7.9,2.208,-0.2399386164175567,-4.24906721055142
